candidate,state,position
Kamala Harris,CA,senator
Bernie Sanders,VT,senator
Cory Booker,NJ,senator
Amy Klobuchar,MN,senator
Julian Castro,TX,representative
Elizabeth Warren,MA,senator
John Delaney,MD,representative
Joe Biden,DE,vice president
Jay Inslee,WA,governor
John Hickenlooper,CO,governor
Michael Bloomberg,NY,mayor
Pete Buttigieg,IN,mayor
Tulsi Gabbard,HI,representative
Kirsten Gillibrand,NY,senator
Marianne Williamson,CA,author
Andrew Yang,NY,business
Beto O'Rourke,TX,representative
